scaffold_100:15169-15271	contig_478	652751	652650	98.039	102	1.25e-43	178
scaffold_100:15169-15271	contig_416	644312	644211	98.039	102	1.25e-43	178
scaffold_10000:3966-4068	contig_169	8441341	8441442	98.058	103	1.25e-43	178
scaffold_10018:1949-2051	contig_267	5077721	5077822	97.059	102	5.80e-42	172
scaffold_10018:1949-2051	contig_221	7527055	7526954	97.059	102	5.80e-42	172
scaffold_10018:3062-3164	contig_267	5078832	5078933	97.059	102	5.80e-42	172
scaffold_10018:3062-3164	contig_221	7525944	7525843	97.059	102	5.80e-42	172
scaffold_10018:3850-3952	contig_267	5079620	5079721	99.020	102	2.68e-45	183
scaffold_10018:3850-3952	contig_221	7525156	7525055	99.020	102	2.68e-45	183
scaffold_100190:168-270	contig_463	117869	117768	99.020	102	2.68e-45	183
scaffold_100190:177-279	contig_463	117860	117759	99.020	102	2.68e-45	183
scaffold_100190:192-294	contig_463	117845	117744	99.020	102	2.68e-45	183
scaffold_1002:9599-9701	contig_567	2462777	2462734	97.727	44	4.68e-13	76.8
scaffold_10020:4747-4849	contig_733	2963878	2963980	98.058	103	1.25e-43	178
scaffold_100519:844-946	contig_316	2455522	2455620	95.098	102	1.62e-37	158
scaffold_10056:3329-3431	contig_1703	677690	677789	98.000	100	1.61e-42	174
scaffold_100602:162-264	contig_586	1125202	1125101	99.020	102	2.68e-45	183
scaffold_100602:162-264	contig_502	1121326	1121225	99.020	102	2.68e-45	183
scaffold_100602:162-264	contig_267	9870010	9870111	98.039	102	1.25e-43	178
scaffold_100602:162-264	contig_221	2732077	2731976	98.039	102	1.25e-43	178
scaffold_100673:270-372	contig_273	805813	805712	99.020	102	2.68e-45	183
scaffold_100673:270-372	contig_224	1266284	1266183	99.020	102	2.68e-45	183
scaffold_10070:6484-6586	contig_288	5181782	5181880	96.970	99	2.70e-40	167
scaffold_10070:6484-6586	contig_254	771539	771438	96.078	102	2.70e-40	167
scaffold_100711:776-878	contig_1592	4421587	4421688	100.000	102	5.76e-47	189
scaffold_10074:6422-6524	contig_346	2686166	2686267	99.020	102	2.68e-45	183
scaffold_10081:5606-5708	contig_463	6338321	6338422	97.059	102	5.80e-42	172
scaffold_100864:667-769	contig_262	2065375	2065476	99.020	102	2.68e-45	183
scaffold_100864:667-769	contig_262	2148756	2148857	98.039	102	1.25e-43	178
scaffold_100864:667-769	contig_1605	1325680	1325781	99.020	102	2.68e-45	183
scaffold_100864:667-769	contig_253	5069100	5068999	98.039	102	1.25e-43	178
scaffold_100864:749-851	contig_262	2065457	2065557	98.039	102	4.48e-43	176
scaffold_100864:749-851	contig_262	2148838	2148936	95.098	102	1.62e-37	158
scaffold_100864:749-851	contig_262	2065605	2065646	97.619	42	6.05e-12	73.1
scaffold_100864:749-851	contig_262	2149005	2149044	97.500	40	7.83e-11	69.4
scaffold_100864:749-851	contig_1605	1325762	1325862	98.039	102	4.48e-43	176
